,date,description,notes,species,strain,genotype,age,sex,weight,solution,internal,temperature,important,expUnit,slice_slice,slice_notes,slice_location,slice_orientation,important.1,cell_cell,cell_notes,cell_type,cell_location,cell_important,data_incomplete,data_complete,data_images
0,2018.03.20_000,"p87 (DOB 12/23/2017), 26g VGAT Male, cut in Ting HEPES/NMDG (Osm 310 - 0.4g/400 mL NaCl to go from 282->310), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg , recorded in Rao's solution (2/1.3 Ca/Mg)  350 um parasagittal one side, 250 um transtrial on the other. Not confident about the slice quality...",Starting in Kgluc to look for vertical/tuberculoventral cells in the transtrial slice. May try pyramidal in transtrial or parasagittal after...,CBA Mouse,vGAT,het,p87,m,26g,Standard ACSF,Standard K-Gluc,34C,True,True,slice_000, , , , ,cell_000,Dorsal VCN bushy cell. Very little YFP in the vicinity. Very weak IPSCs with laser (even MAX),bushy,AVCN?,True,"CCIV_4nA_max_000.I.14/21, Map_NewBlueLaser_VC_10Hz_003.V.8/114","CCIV_1nA_max_000, CCIV_1nA_max_001, CCIV_1nA_max_002, CCIV_1nA_max_003, CCIV_4nA_max_001, Map_NewBlueLaser_IC_10Hz_000, Map_NewBlueLaser_IC_single_000, Map_NewBlueLaser_VC_10Hz_000, Map_NewBlueLaser_VC_10Hz_001, Map_NewBlueLaser_VC_10Hz_002, Map_NewBlueLaser_VC_10Hz_004, Map_NewBlueLaser_VC_10Hz_005_objectiveUP_NOPE, Map_NewBlueLaser_VC_10Hz_006","Images:   2, Videos:   6"
1,2018.03.20_000,"p87 (DOB 12/23/2017), 26g VGAT Male, cut in Ting HEPES/NMDG (Osm 310 - 0.4g/400 mL NaCl to go from 282->310), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg , recorded in Rao's solution (2/1.3 Ca/Mg)  350 um parasagittal one side, 250 um transtrial on the other. Not confident about the slice quality...",Starting in Kgluc to look for vertical/tuberculoventral cells in the transtrial slice. May try pyramidal in transtrial or parasagittal after...,CBA Mouse,vGAT,het,p87,m,26g,Standard ACSF,Standard K-Gluc,34C,True,True,slice_001, , , ,True,cell_000,"Beautiful!! Nice CA recording to get threshold/map, followed by WC V/I-clamp. VERY NICE!!",tuberculoventral, ,True,Map_NewBlueLaser_VC_Single_000.V.5/16,"CCIV_1nA_Posonly_000, CCIV_1nA_Posonly_001, CCIV_long_000, CCIV_long_001, Map_NewBlueLaser_CA_000_pt5, Map_NewBlueLaser_CA_001_pt08, Map_NewBlueLaser_CA_002_pt06, Map_NewBlueLaser_CA_003_pt05, Map_NewBlueLaser_CA_004_pt04, Map_NewBlueLaser_CA_005_pt045, Map_NewBlueLaser_CA_006_pt045again, Map_NewBlueLaser_IC_10Hz_000, Map_NewBlueLaser_IC_10Hz_001, Map_NewBlueLaser_IC_10Hz_002, Map_NewBlueLaser_IC_10Hz_003, Map_NewBlueLaser_IC_10Hz_004, Map_NewBlueLaser_VC_babysteps_000, Map_NewBlueLaser_VC_babysteps_001, Map_NewBlueLaser_VC_Single_001, Map_NewBlueLaser_VC_Single_002, Map_NewBlueLaser_VC_Single_003",", Videos:   9"
2,2018.03.20_000,"p87 (DOB 12/23/2017), 26g VGAT Male, cut in Ting HEPES/NMDG (Osm 310 - 0.4g/400 mL NaCl to go from 282->310), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg , recorded in Rao's solution (2/1.3 Ca/Mg)  350 um parasagittal one side, 250 um transtrial on the other. Not confident about the slice quality...",Starting in Kgluc to look for vertical/tuberculoventral cells in the transtrial slice. May try pyramidal in transtrial or parasagittal after...,CBA Mouse,vGAT,het,p87,m,26g,Standard ACSF,Standard K-Gluc,34C,True,True,slice_001, , , ,True,cell_001,"Leaky, but informative about input/output with laser.  Spontaneous breakin, 200pA leak, still nice firing and rebound firing..",tuberculoventral, ,True,VGAT_babysteps_002.V.74/186,"CCIV_1nA_Posonly_000, CCIV_long_000, VGAT_babysteps_000, VGAT_babysteps_001","Images:   5, Videos:   6"
3,2018.03.23_000,"p58 (DOB 1/24/2018), 18g VGAT female, cut in Ting HEPES/NMDG (Osm 310 - 4g/400 mL sucrose to go from 281->312), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial, one side great, not so good on other on the other. ",Hi Cl cesium solution to look at VGAT synapses onto pyramidal cells  Standard Rao solution w/5 uM CNQX disodium,CBA Mouse,vGAT,het,p58,f,18g,Standard ACSF,Cesium,34C,True,True,slice_000, , , ,True,cell_000, , , ,True,VGAT_5mspulses_5Hz_pt06_to_pt5_000.V.25/225,"VCIV_simple_000, VGAT_5mspulses_5Hz_pt045_to_pt1_000, VGAT_5mspulses_5Hz_pt045_to_pt1_001","Images:  13, Videos:  12"
4,2018.03.23_000,"p58 (DOB 1/24/2018), 18g VGAT female, cut in Ting HEPES/NMDG (Osm 310 - 4g/400 mL sucrose to go from 281->312), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial, one side great, not so good on other on the other. ",Hi Cl cesium solution to look at VGAT synapses onto pyramidal cells  Standard Rao solution w/5 uM CNQX disodium,CBA Mouse,vGAT,het,p58,f,18g,Standard ACSF,Cesium,34C,True,True,slice_000, , , ,True,cell_001, , , , , , ,No Images or Videos
5,2018.03.23_000,"p58 (DOB 1/24/2018), 18g VGAT female, cut in Ting HEPES/NMDG (Osm 310 - 4g/400 mL sucrose to go from 281->312), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial, one side great, not so good on other on the other. ",Hi Cl cesium solution to look at VGAT synapses onto pyramidal cells  Standard Rao solution w/5 uM CNQX disodium,CBA Mouse,vGAT,het,p58,f,18g,Standard ACSF,Cesium,34C,True,True,slice_001, , , , ,cell_000,"Smaller cell, it's all Vclamp, but I'm guessing transtrial? Too deep for cartwheel? Unfortunately it exploded before imaging. About 5 minutes before acquiring cell I accidentally BLASTED the slice with the blue LED through the 3 filter (instead of 5), giving it a ton of blue. Is that why there's so much spontaneous activity??",unknown, ,False, ,"VCIV_simple_000, VGAT_5mspulses_5Hz_pt045_to_pt1_000, VGAT_5mspulses_5Hz_pt045_to_pt1_001","Images:   1, Videos:   6"
6,2018.03.23_000,"p58 (DOB 1/24/2018), 18g VGAT female, cut in Ting HEPES/NMDG (Osm 310 - 4g/400 mL sucrose to go from 281->312), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial, one side great, not so good on other on the other. ",Hi Cl cesium solution to look at VGAT synapses onto pyramidal cells  Standard Rao solution w/5 uM CNQX disodium,CBA Mouse,vGAT,het,p58,f,18g,Standard ACSF,Cesium,34C,True,True,slice_002, ,Top DCN slice, ,True,cell_001,"Big beautiful cell. TOP DCN slice. Smallish slice. Beautiful responses. Washed on strychnine, got GABA responses, esp at higher intensities... SWEEEEET!!!",pyramidal,DCN layer II,True, ,"VCIV_simple_000, VGAT_5mspulses_5Hz_pt045_to_pt1_000, VGAT_5mspulses_5Hz_pt045_to_pt1_001, VGAT_5mspulses_5Hz_pt045_to_pt1_002, VGAT_5mspulses_5Hz_pt045_to_pt1_003_strych_stronger, VGAT_5mspulses_5Hz_pt045_to_pt1_004_strych_stronger","Images:  17, Videos:  11"
7,2018.03.23_000,"p58 (DOB 1/24/2018), 18g VGAT female, cut in Ting HEPES/NMDG (Osm 310 - 4g/400 mL sucrose to go from 281->312), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial, one side great, not so good on other on the other. ",Hi Cl cesium solution to look at VGAT synapses onto pyramidal cells  Standard Rao solution w/5 uM CNQX disodium,CBA Mouse,vGAT,het,p58,f,18g,Standard ACSF,Cesium,34C,True,True,slice_003, , , , ,cell_000,"Beautiful cell, but the strychnine from the last slice (despite 15 min of high speed wash) clearly is still causing problems..",pyramidal, , ,"VCIV_simple_000.V.14/41, VCIV_simple_001.V.34/41, VGAT_20mspulses_5Hz_pt045_to_pt1_000_000.V.80/157","VGAT_5mspulses_5Hz_pt045_to_pt1_000, VGAT_5mspulses_5Hz_pt06_to_pt5_000","Images:  11, Videos:   7"
8,2018.03.23_000wnotes,"p58 (DOB 1/24/2018), 18g VGAT female, cut in Ting HEPES/NMDG (Osm 310 - 4g/400 mL sucrose to go from 281->312), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial, one side great, not so good on other on the other. ",Hi Cl cesium solution to look at VGAT synapses onto pyramidal cells  Standard Rao solution w/5 uM CNQX disodium,CBA Mouse,vGAT,het,p58,f,18g,Standard ACSF,Cesium,34C,True,True,slice_000, , , ,True,cell_000, , , ,True,VGAT_5mspulses_5Hz_pt06_to_pt5_000.V.25/225,"VCIV_simple_000, VGAT_5mspulses_5Hz_pt045_to_pt1_000, VGAT_5mspulses_5Hz_pt045_to_pt1_001","Images:  13, Videos:  12"
9,2018.03.23_000wnotes,"p58 (DOB 1/24/2018), 18g VGAT female, cut in Ting HEPES/NMDG (Osm 310 - 4g/400 mL sucrose to go from 281->312), 10 min at 34C in Ting HEPES/NMDG -> RT in HEPES saline 2/2 Ca/Mg , recorded in Rao's solution (2/1.3 Ca/Mg)  250 um transtrial, one side great, not so good on other on the other. ",Hi Cl cesium solution to look at VGAT synapses onto pyramidal cells  Standard Rao solution w/5 uM CNQX disodium,CBA Mouse,vGAT,het,p58,f,18g,Standard ACSF,Cesium,34C,True,True,slice_000, , , ,True,cell_001, , , , , , ,No Images or Videos
